Word,Sentiment
不忠,negative
不忠的,negative
不忠實,negative
不忠實的,negative
不易,negative
不易的,negative
不易瞭解,negative
不易瞭解的,negative
不易彎曲,negative
不易彎曲的,negative
不明,negative
不明瞭,negative
不明瞭的,negative
不明確,negative
不明確的,negative
不服從,negative
不服從的,negative
不注意,negative
不注意的,negative
不法,negative
不法行為,negative
不法的,negative
不直截了當,negative
不直截了當的,negative
不知,negative
不知不覺,negative
不知不覺的,negative
不知所措,negative
不知的,negative
不知恩,negative
不知羞恥,negative
不知羞恥的,negative
不知道,negative
不知道的,negative
不肯,negative
不肯定,negative
不肯定的,negative
不肯接受,negative
不肯越過障礙物,negative
不近,negative
不近人情,negative
不近人情的,negative
不長,negative
不長果實,negative
不長果實的,negative
不信,negative
不信任,negative
不信任的,negative
不信實,negative
不信實的,negative
不便,negative
不便之處,negative
不便的,negative
不厚道,negative
不厚道的,negative
不恰當,negative
不恰當地,negative
不流行,negative
不流行的,negative
不流動,negative
不流動的,negative
不活潑,negative
不活潑的,negative
不為,negative
不為人喜,negative
不為人喜的,negative
不省,negative
不省人事,negative
不省人事的,negative
不相宜,negative
不相信,negative
不相容,negative
不美,negative
不美的,negative
不耐,negative
不耐煩,negative
不耐煩的,negative
不負責任,negative
不負責任的,negative
不重要,negative
不重要之人,negative
不重要的,negative
不重視,negative
不值得,negative
不值得的,negative
不值錢,negative
不值錢的,negative
不值錢的東西,negative
不修邊幅,negative
不准,negative
不容易的,negative
不屑,negative
不屑做,negative
不悅,negative
不悅之色,negative
不悅耳,negative
不悅耳的,negative
不留心,negative
不留心的,negative
不留神,negative
不留神的,negative
不真實,negative
不真實的,negative
不眠,negative
不眠的,negative
不純,negative
不純的,negative
不純潔,negative
不純潔的,negative
不能,negative
不能決定,negative
不能決定的,negative
不能征服,negative
不能征服的,negative
不能的,negative
不能肯定,negative
不能信賴,negative
不能信賴的,negative
不能容忍,negative
不能容忍的,negative
不能區別,negative
不能區別的,negative
不能勝任,negative
不能勝任的,negative
不能想像,negative
不能想像的,negative
不能解決,negative
不能解決的,negative
不能解決問題,negative
不能解決問題的,negative
不能解釋,negative
不能解釋的,negative
不能說明,negative
不能說明的,negative
不能辨別,negative
不能辨別的,negative
不能壓制,negative
不能壓制的,negative
不能矯正,negative
不能矯正的,negative
不能醫治,negative
不能醫治的,negative
不起作用,negative
不高,negative
不高興,negative
不高興的,negative
不健全,negative
不健全的,negative
不健康,negative
不健康的,negative
不參加,negative
不堅固,negative
不堅固的,negative
不夠,negative
不夠的,negative
不得人心,negative
不得人心的,negative
不得力,negative
不得力的,negative
不得已,negative
不得已的,negative
不得要領,negative
不得要領的,negative
不情願,negative
不情願的,negative
不清,negative
不清楚,negative
不清楚的,negative
不理會,negative
不祥,negative
不祥的,negative
不符,negative
不習慣,negative
不習慣的,negative
不莊重,negative
不莊重的,negative
不規則,negative
不規則的,negative
不規則的事物,negative
不許,negative
不勝任,negative
不勝任的,negative
不喜歡,negative
不尊重,negative
不尋常,negative
不尋常的,negative
不愉快,negative
不愉快的,negative
不愉快的事,negative
不景氣,negative
不景氣的,negative
不發達,negative
不結果,negative
不結果的,negative
不結果實,negative
不結果實的,negative
不舒服,negative
不舒服的,negative
不舒適,negative
不舒適的,negative
不雅觀,negative
不雅觀的,negative
不順利,negative
不順利的,negative
不順當,negative
不順當地,negative
不新鮮,negative
不新鮮的,negative
不會,negative
不會的,negative
不經意說出,negative
不經濟,negative
不經濟的,negative
不誠實,negative
不誠實的,negative
不道德,negative
不道德的,negative
不像,negative
不像真實,negative
不像真實的,negative
不寧,negative
不實在,negative
不實在的,negative
不對,negative
不對頭,negative
不對頭地,negative
不滿,negative
不滿足,negative
不滿意,negative
不滿意的,negative
不稱心,negative
不稱心地,negative
不端,negative
不管,negative
不管怎樣,negative
不管怎樣地,negative
不精密,negative
不精密的,negative
不精確,negative
不說話,negative
不說話的,negative
不遜,negative
不遜的,negative
不履行,negative
不樂,negative
不潔,negative
不潔的,negative
不潔淨,negative
不潔淨的,negative
不熟悉,negative
不熟悉的,negative
不確,negative
不確定,negative
不確定的,negative
不確的,negative
不確信,negative
不確實,negative
不確實的,negative
不調和,negative
不調和的,negative
不適,negative
不適任,negative
不適任的,negative
不適時,negative
不適時的,negative
不適當,negative
不適當的,negative
不適應環境,negative
不適應環境的,negative
不整齊,negative
不整齊的,negative
不親切,negative
不親切的,negative
不懂事,negative
不懂事的,negative
不檢,negative
不講道理,negative
不講道理的,negative
不賺錢,negative
不賺錢的,negative
不斷,negative
不斷引起苦惱,negative
不斷地找..的岔子,negative
不斷嘮叨,negative
不斷騷擾,negative
不禮貌,negative
不謹慎,negative
不謹慎的,negative
不穩,negative
不穩固,negative
不穩固的,negative
不穩定,negative
不穩定的,negative
不識,negative
不識字,negative
不識字的,negative
不贊同,negative
不贊成,negative
不關,negative
不關心,negative
不關心的,negative
不關緊要之事,negative
不願意,negative
不願意的,negative
不嚴密,negative
不覺,negative
不顧,negative
不顧一切,negative
不顧一切地,negative
不顧後果,negative
不顧後果的,negative
不聽話,negative
不聽話的,negative
不體面,negative
不體面的,negative
中止,negative
中傷,negative
中傷性,negative
中傷性的,negative
中傷者,negative
中斷,negative
互撞,negative
仇恨,negative
仇敵,negative
介意,negative
內疚,negative
內情,negative
公憤,negative
冗長,negative
冗長乏味,negative
冗長乏味的,negative
冗長的,negative
冗語,negative
冗餘,negative
凶兆,negative
分心,negative
分心的事物,negative
分歧,negative
分泌毒液,negative
分泌毒液的,negative
分割,negative
分裂,negative
分裂的,negative
分開,negative
分隔,negative
分離,negative
分離的,negative
切斷,negative
勾引,negative
勾結,negative
化膿,negative
厄運,negative
反托拉斯,negative
反托拉斯的,negative
反作用,negative
反抗,negative
反抗的,negative
反衝,negative
反衝的,negative
反社會,negative
反叛,negative
反叛者,negative
反動,negative
反動分子,negative
反動主義,negative
反動主義的,negative
反動主義者,negative
反動的,negative
反動派,negative
反常,negative
反常的,negative
反常現象,negative
反覆,negative
反覆告訴,negative
反覆無常,negative
反感,negative
反話,negative
反對,negative
反對..提案,negative
反對改革,negative
反對改革的,negative
反對的,negative
反對者,negative
反駁,negative
反駁的,negative
反衝,negative
反諷,negative
反覆,negative
反覆無常,negative
反覆無常的,negative
反壟斷,negative
反壟斷的,negative
反證,negative
太過,negative
太過自信,negative
太過自信的,negative
太遲,negative
太遲的,negative
少給,negative
巴掌,negative
巴結,negative
幻想,negative
引起不舒服,negative
引起死亡,negative
引起疼痛,negative
引起緊張,negative
引起緊張的,negative
引起嘲笑,negative
引起嘲笑的,negative
引起震驚,negative
引起震驚的事件,negative
引誘,negative
心甘情願,negative
心地不好,negative
心地不好的,negative
心神不安,negative
心神不安的,negative
心神不定,negative
心情不穩,negative
心情不穩的,negative
心情浮動,negative
心情浮動的,negative
心眼壞,negative
心眼壞的,negative
心智衰弱,negative
心虛,negative
心虛的,negative
心慌,negative
支付利息,negative
支吾,negative
支配,negative
文盲,negative
木棍,negative
欠缺,negative
欠缺的,negative
欠錢,negative
止步,negative
歹徒,negative
毛病,negative
毛骨悚然,negative
毛骨悚然的,negative
水妖,negative
水性楊花,negative
水性楊花的女人,negative
水雷,negative
火災,negative
犬儒,negative
犬儒主義,negative
世仇,negative
世代結仇,negative
世俗,negative
世俗的,negative
世故,negative
世界末日,negative
世界的末日,negative
乏味,negative
乏味的,negative
以..為賭注,negative
以牙還牙,negative
以呻吟聲說出,negative
以為不可,negative
以喧鬧聲擾,negative
以誘餌吸引,negative
以餌引誘,negative
代罪羔羊,negative
代價,negative
令人不愉快,negative
令人不愉快的,negative
令人不滿意,negative
令人不滿意的,negative
令人失望,negative
令人失望的人,negative
令人沮喪,negative
令人沮喪的,negative
令人恐懼,negative
令人恐懼的,negative
令人討厭,negative
令人討厭的,negative
令人討厭的人,negative
令人討厭的事物,negative
令人窒息,negative
令人窒息的濃煙,negative
令人悲痛,negative
令人悲痛的,negative
令人無法忍受,negative
令人無法忍受的,negative
令人傷心,negative
令人傷心的,negative
令人煩惱,negative
令人煩惱的,negative
令人厭惡,negative
令人厭惡的,negative
令人憤慨,negative
令人憤慨的,negative
令人頭痛之事,negative
令人懷疑,negative
令人懷疑的,negative
令退役,negative
充公,negative
充血,negative
充滿危險,negative
充滿危險的,negative
凹下,negative
凹痕,negative
凹陷,negative
出乎,negative
出乎意料,negative
出乎意料地,negative
出沒,negative
出沒於,negative
出軌,negative
出賣,negative
加油門快速前進,negative
加負荷於,negative
加負擔於,negative
加重,negative
加重壓於,negative
加害,negative
加深,negative
加罪,negative
加罪於,negative
加障礙於,negative
加劇,negative
功利,negative
功利主義,negative
功利主義的,negative
功利主義者,negative
功利的,negative
功利論者,negative
包圍,negative
匆匆忙忙,negative
匆匆忙忙的,negative
匆忙,negative
匆忙地走,negative
匆忙地做,negative
匆忙嚥下,negative
卡住,negative
去世,negative
去除,negative
可作兩種解釋,negative
可忍受,negative
可忍受的,negative
可怕,negative
可怕的,negative
可怕的人,negative
可怕的事,negative
可怕的事物,negative
可爭論,negative
可爭論的,negative
可容忍,negative
可容忍的,negative
可恥,negative
可恥的,negative
可恥的人,negative
可笑,negative
可笑的,negative
可惜,negative
可惜的,negative
可惡,negative
可惡的,negative
可悲,negative
可悲的,negative
可厭,negative
可厭惡,negative
可厭惡的,negative
可疑,negative
可疑分子,negative
可疑的,negative
可鄙,negative
可鄙的,negative
可憐,negative
可憐的,negative
可憐的人,negative
可憎,negative
可憎的,negative
可歎,negative
可歎的,negative
古怪,negative
古怪的,negative
古怪的人,negative
叫化子,negative
叫吠,negative
叫喊,negative
叫喊著說,negative
叫喊聲,negative
叱責,negative
四處覓食,negative
四散,negative
囚犯,negative
外行,negative
外行的,negative
外來,negative
外來的,negative
外傷,negative
外傷用,negative
外傷用的,negative
外傷的,negative
失去,negative
失去..,negative
失去..的,negative
失去母獸,negative
失去母獸的小動物,negative
失去光澤,negative
失去法律保護,negative
失去知覺,negative
失去知覺的,negative
失去勇氣,negative
失去能力,negative
失去感覺,negative
失去感覺的,negative
失事,negative
失明,negative
失效,negative
失眠,negative
失眠的,negative
失常,negative
失控,negative
失控地,negative
失措,negative
失敗,negative
失敗的,negative
失敗者,negative
失望,negative
失策,negative
失業,negative
失業人數,negative
失業的,negative
失業者,negative
失業者的,negative
失察,negative
失誤,negative
失調,negative
失調的,negative
失檢,negative
失禮,negative
失禮的,negative
失寵,negative
奴役,negative
巨物,negative
巨瀾,negative
巧取,negative
幼稚,negative
幼稚的,negative
打..的屁股,negative
打入,negative
打入地獄,negative
打入地獄的,negative
打仗,negative
打出,negative
打耳光,negative
打屁股,negative
打哈欠,negative
打架,negative
打倒,negative
打破,negative
打偏,negative
打著哈欠說,negative
打亂,negative
打碎,negative
打滾,negative
打賭,negative
打擊,negative
打鼾,negative
打擾,negative
打斷,negative
打顫,negative
打攪,negative
斥責,negative
未下定義,negative
未下定義的,negative
未上班者,negative
未中,negative
未加,negative
未加抑制,negative
未加抑制的,negative
未必,negative
未必的,negative
未成熟,negative
未成熟的,negative
未完全發展,negative
未完全發展的,negative
未完成,negative
未完成的,negative
未完成體,negative
未決定,negative
未決定的,negative
未見過的,negative
未受制止,negative
未受制止的,negative
未定,negative
未定的,negative
未知,negative
未知的,negative
未知的東西,negative
未知數,negative
未指明,negative
未指明的,negative
未得到,negative
未被,negative
未被通知,negative
未被通知的,negative
未被證明為正當,negative
未被證明為正當的,negative
未減輕,negative
未減輕的,negative
未發覺,negative
未發覺的,negative
未開化,negative
未開化的,negative
未經,negative
未經訓練,negative
未經訓練的,negative
未經通知,negative
未經通知的,negative
未經檢查,negative
未經檢查的,negative
未解決,negative
未解決的,negative
未詳細說明,negative
未詳細說明的,negative
未達到,negative
未確定,negative
未確定的,negative
未緩和,negative
未緩和的,negative
未擊中,negative
未獲,negative
未獲情報,negative
未獲情報的,negative
未觸及,negative
未觸及的,negative
末日,negative
末日審判,negative
正式放棄,negative
正式脫離或退出,negative
母夜叉,negative
犯了罪,negative
犯了罪的,negative
犯人,negative
犯殺人罪,negative
犯規,negative
犯罪,negative
犯罪的,negative
犯罪者,negative
犯過失,negative
犯過錯,negative
犯錯,negative
瓜分,negative
瓦解,negative
生活放蕩,negative
生活放蕩的人,negative
生活艱苦,negative
生活艱苦的,negative
生氣,negative
生氣的,negative
生病,negative
生病的,negative
生疏,negative
生疏的,negative
生硬,negative
生硬的,negative
生裂縫,negative
生銹,negative
生銹的,negative
用力,negative
用力按,negative
用力擊,negative
用手掌打,negative
用皮帶抽打,negative
用矛刺,negative
用尖銳,negative
用尖銳的聲音說,negative
用沸水燙,negative
用拳猛擊,negative
用臭氣趕出,negative
用帶捆住,negative
用欺騙致使,negative
用碎紙機撕毀,negative
用話刺痛,negative
用詭計取得,negative
用槍射擊,negative
用盡,negative
用嘶啞,negative
用嘶啞的聲音說,negative
用憤怒,negative
用憤怒的目光表示,negative
用樹籬圍,negative
用濫,negative
用濫的,negative
用舊,negative
申斥,negative
白日夢,negative
白吃,negative
白費,negative
白費的,negative
白癡,negative
白癡的,negative
白癡般,negative
白癡般的,negative
目中無人,negative
目中無人的,negative
目光短淺,negative
目光短淺的,negative
矛盾,negative
矛盾的,negative
丟失,negative
丟掉,negative
丟棄,negative
丟臉,negative
丟臉的,negative
丟臉的人,negative
丟臉的事,negative
丟醜,negative
丟醜的人,negative
交疲,negative
交惡運,negative
交惡運的,negative
交媾,negative
交戰,negative
交戰的,negative
交戰國,negative
交戰國的,negative
仿造,negative
仿造品,negative
仿製,negative
仿製品,negative
休止,negative
休克,negative
伏兵,negative
伏擊,negative
任性,negative
任性的,negative
任性的舉動,negative
任意,negative
任意的,negative
兇手,negative
凶狠,negative
凶狠的,negative
兇殺,negative
兇猛,negative
兇猛的,negative
兇惡,negative
兇惡的,negative
全無,negative
全無的,negative
共犯,negative
共謀,negative
刑事,negative
刑事被告,negative
劣馬,negative
劣等,negative
劣等的,negative
劣勢,negative
劣質,negative
劣質的,negative
劣學生,negative
危及,negative
危地,negative
危困,negative
危急,negative
危急的,negative
危害,negative
危害物,negative
危機,negative
危險,negative
危險之源,negative
危險物,negative
危險的,negative
危險期,negative
同性戀者,negative
同情,negative
同情的,negative
同謀,negative
吊兒郎當,negative
吊兒郎當的人,negative
向..挑戰,negative
向..開槍,negative
名聲臭,negative
吃同類,negative
吃同類的動物,negative
吃得過飽,negative
吃驚,negative
因循,negative
回絕,negative
迴避,negative
地牢,negative
地雷,negative
地獄,negative
地震,negative
在..下挖掘,negative
在..上蔓生,negative
在..中加入脂肪,negative
在..埋地雷,negative
在..留下疤痕,negative
在..搜尋,negative
多刺,negative
多刺的,negative
多風暴,negative
多風暴的,negative
多陰雨,negative
多陰雨的,negative
多疑,negative
多疑的,negative
多餘,negative
多餘物,negative
多餘的,negative
妄求,negative
妄為,negative
妄動,negative
妄動的,negative
奸詐,negative
奸詐的,negative
好色,negative
好事,negative
好事的人,negative
好爭論,negative
好爭論的,negative
好挖苦人,negative
好挖苦人的,negative
好鬥,negative
好鬥的,negative
好責罵,negative
好責罵的人,negative
好嘮叨,negative
好嘮叨的人,negative
好戰,negative
好戰的,negative
好戰者,negative
如死一般,negative
如死一般地,negative
如野獸般,negative
如野獸般的,negative
如獸,negative
如獸的,negative
存心,negative
存心的,negative
存有偏見,negative
存有偏見的,negative
存偏見,negative
守財奴,negative
尖叫,negative
尖叫著說,negative
尖叫聲,negative
尖刻,negative
尖刻的,negative
尖著,negative
尖著聲音講,negative
尖嘯,negative
尖銳,negative
尖銳的,negative
尖聲,negative
尖聲喊叫,negative
尖聲發出,negative
忙亂,negative
成見,negative
成空,negative
成為空,negative
成為空的,negative
成為零,negative
成為障礙,negative
成問題,negative
成問題的,negative
成碎片,negative
成零,negative
成廢物,negative
成廢物的,negative
扣住,negative
扣押,negative
扣留,negative
托辭,negative
收買,negative
曲折,negative
曲折的,negative
曲解,negative
有..傾向,negative
有..傾向的,negative
有目的,negative
有矛盾情緒,negative
有矛盾情緒的,negative
有危險,negative
有危險的,negative
有成見,negative
有困難,negative
有困難的,negative
有毒,negative
有毒的,negative
有毒腺,negative
有毒腺的,negative
有害,negative
有害的,negative
有害的動物,negative
有害的植物,negative
有差別,negative
有差別地對待,negative
有差異,negative
有差異的,negative
有特權,negative
有特權的,negative
有病,negative
有病的,negative
有缺陷,negative
有缺陷的,negative
有缺點,negative
有缺點的,negative
有條件投降,negative
有惡意,negative
有惡意的,negative
有瑕疵,negative
有瑕疵的,negative
有罪,negative
有罪的,negative
有詭計,negative
有詭計的,negative
有點兒,negative
有顧忌,negative
有顧忌的,negative
有癮,negative
有癮的人,negative
次品,negative
次要,negative
次要的,negative
次級,negative
死亡,negative
死亡狀態,negative
死的,negative
死者,negative
死氣,negative
死氣沈沈,negative
死氣沈沈的,negative
死記,negative
死記硬背功課,negative
污名,negative
污的,negative
污物,negative
污垢,negative
污染,negative
污跡,negative
污漬,negative
污蔑,negative
污濁,negative
污濁的,negative
污點,negative
污穢,negative
污穢的,negative
灰心,negative
灰心的,negative
老生常談,negative
老年,negative
老年的,negative
老馬,negative
老處女,negative
自大,negative
自大的,negative
自任,negative
自任不凡,negative
自任不凡的,negative
自吹,negative
自吹自擂,negative
自吹自擂說,negative
自我,negative
自我中心,negative
自我中心的,negative
自我本位,negative
自我本位的,negative
自私,negative
自私的,negative
自卑,negative
自卑情緒,negative
自卑感,negative
自命,negative
自封,negative
自負,negative
自負的,negative
自負的地方,negative
自責,negative
自誇,negative
自誇的,negative
自誇說,negative
自稱,negative
自擾,negative
色慾,negative
血腥,negative
血腥的,negative
行刺,negative
行為不良,negative
行為不良的人,negative
行為不端,negative
行為不檢,negative
行為不檢的,negative
行為不禮貌,negative
行賄,negative
行騙,negative
行竊,negative
作犯規動作,negative
作低沈聲,negative
作弄,negative
作祟,negative
作嘔,negative
作弊,negative
作廢,negative
作戰,negative
作驚人表演,negative
低水平,negative
低劣,negative
低沈,negative
低於他人者,negative
低級,negative
低級的,negative
低級庸俗,negative
低級庸俗的,negative
低落,negative
低聲,negative
低聲地,negative
低聲含糊,negative
低聲含糊地說,negative
佈置地雷或水雷,negative
免職,negative
冷笑,negative
冷淡,negative
冷淡的,negative
冷落,negative
冷漠,negative
冷酷,negative
冷酷地,negative
冷酷的,negative
冷嘲,negative
冷嘲的,negative
冷嘲熱諷,negative
判刑,negative
判決,negative
利己,negative
利己主義,negative
利己主義的,negative
刪去,negative
刪除,negative
劫掠,negative
吝惜,negative
吝嗇,negative
吝嗇的,negative
吝嗇鬼,negative
吞吃,negative
否決,negative
否決權,negative
否定,negative
否定的,negative
否認,negative
呆子,negative
呆笨,negative
呆笨的,negative
呆滯,negative
呆滯的,negative
告密,negative
告密者,negative
告發,negative
告訴錯誤,negative
告訴錯誤的消息,negative
告誡,negative
吹牛,negative
吹牛皮,negative
吹捧,negative
吹噓,negative
吹噓說,negative
吸毒,negative
吸毒者,negative
吵吵鬧鬧,negative
吵吵鬧鬧的要求,negative
吵架,negative
吵鬧,negative
吵鬧的,negative
吵鬧聲,negative
吼叫,negative
吼叫著表達,negative
含有特定意味,negative
含沙射影,negative
含混,negative
含混的,negative
含淚,negative
含糊,negative
含糊地說,negative
含糊地說話,negative
含糊的,negative
含糊話,negative
困乏,negative
困局,negative
困惑,negative
困窘,negative
困境,negative
困窮,negative
困窮的,negative
困擾,negative
困難,negative
困難的,negative
坐立不安,negative
坐臥不安,negative
夾痛,negative
妒忌,negative
妨害,negative
妨害物,negative
妨礙,negative
妨礙者,negative
妓女,negative
完全喪失,negative
完全喪失的,negative
完全喪失者,negative
侷促,negative
侷促不安,negative
局限,negative
局限於狹小空間,negative
岔子,negative
巫術,negative
弄凹,negative
弄死,negative
弄污,negative
弄歪,negative
弄混,negative
弄跛,negative
弄亂,negative
弄碎,negative
弄皺,negative
弄複雜,negative
弄錯,negative
弄糟,negative
弄翻,negative
弄壞,negative
弄髒,negative
形容枯槁,negative
形容枯槁的,negative
忘恩,negative
忘恩負義,negative
忘恩負義的,negative
忘記,negative
忌諱,negative
忌諱的,negative
忍住,negative
忍受,negative
快枯竭,negative
快枯竭的,negative
快活,negative
抗議,negative
抗辯,negative
抗辯的,negative
抖顫,negative
扭打,negative
扭曲,negative
扭歪,negative
扭斗,negative
扭傷,negative
把..分隔開,negative
把..孤注一擲,negative
把..烤焦,negative
把..強加於,negative
把..割下,negative
把..悶死,negative
把..燒焦,negative
把..嚇出來,negative
把..嚇跑,negative
把..歸咎於,negative
把工作搞糟,negative
把關在欄內,negative
扼死,negative
扼制,negative
扼殺,negative
批判,negative
批評,negative
批評家,negative
批駁,negative
扯破,negative
扯破的洞,negative
扯碎,negative
折磨,negative
折斷,negative
折舊,negative
投入深淵,negative
投降,negative
投訴,negative
投彈,negative
投彈於,negative
投機,negative
抓住,negative
抓取,negative
抓得之物,negative
抓傷,negative
抑止,negative
抑制,negative
抑制的,negative
攻佔,negative
攻擊,negative
攻擊性,negative
攻擊性的,negative
攻擊者,negative
更惡劣,negative
更惡劣地,negative
更惡劣的事,negative
更壞,negative
更壞地,negative
更壞的事,negative
束手,negative
束手無策,negative
束縛,negative
束縛物,negative
步入歧途,negative
步入歧途的,negative
沈下,negative
沈下臉,negative
沈沈,negative
沈沈不樂,negative
沈沈不樂的,negative
沈沒,negative
沈重,negative
沈重地走,negative
沈重的,negative
沈重的步伐,negative
沈重的責任,negative
沈重的腳步聲,negative
沈重緩慢,negative
沈重緩慢地走,negative
沈迷,negative
沈寂,negative
沈寂的,negative
沈悶,negative
沈悶的,negative
沈溺,negative
沖打,negative
沖蝕,negative
沒收,negative
沒收物,negative
沒有,negative
沒有目標,negative
沒有目標的,negative
沒有考慮,negative
沒有考慮的,negative
沒有自信,negative
沒有自信的,negative
沒有防備,negative
沒有防備的,negative
沒有經驗,negative
沒有經驗的,negative
沒有觀察到,negative
沒有觀察到的,negative
沒到,negative
沒受,negative
沒受教育,negative
沒受教育的,negative
沒注意到,negative
沒規矩,negative
沒規矩的,negative
沒覺察到,negative
沒覺察到的,negative
汽車扣押場,negative
灼枯,negative
灼痛,negative
灼痛感,negative
灼傷,negative
災害,negative
災禍,negative
災難,negative
牢騷,negative
狂妄,negative
狂妄的,negative
狂奔,negative
狂放,negative
狂怒,negative
狂怒的,negative
狂怒的人,negative
狂風,negative
狂風大浪,negative
狂亂,negative
狂亂地說,negative
狂亂的,negative
狂暴,negative
狂暴地,negative
狂暴的,negative
狂熱,negative
狂熱地,negative
狂熱的,negative
狂熱者,negative
狂罵,negative
私生,negative
私生的,negative
私通,negative
私運,negative
私黨,negative
良心不安,negative
見鬼,negative
赤字,negative
赤貧,negative
赤貧者,negative
赤裸裸,negative
赤裸裸的,negative
走失,negative
走失的,negative
走失的家畜,negative
走失動物認領欄,negative
走私,negative
走得慢,negative
